"t","relay","T"
1113,1,120.401214383853
1114,1,120.656078478076
1115,1,120.401214383853
1116,1,119.891486195408
1117,1,120.656078478076
1118,1,120.401214383853
1119,1,120.401214383853
1120,1,121.420670760745
1121,1,120.910942572299
1122,1,121.165806666522
1123,1,121.165806666522
1124,1,121.165806666522
1125,1,122.185263043413
1126,1,121.675534854968
1127,1,121.675534854968
1128,1,121.675534854968
1129,1,122.185263043413
1130,1,122.185263043413
1131,1,123.204719420305
1132,1,122.694991231859
1133,1,123.459583514528
1134,1,122.949855326082
1135,1,123.204719420305
1136,1,122.949855326082
1137,1,123.459583514528
1138,1,123.459583514528
1139,1,124.224175797196
1140,1,123.969311702973
1141,1,123.71444760875
1142,1,123.969311702973
1143,1,124.733903985642
1144,1,124.224175797196
1145,1,124.479039891419
1146,1,125.243632174088
1147,1,124.733903985642
1148,1,125.243632174088
1149,1,125.49849626831
1150,1,125.243632174088
1151,1,125.243632174088
1152,1,125.49849626831
1153,1,126.263088550979
1154,1,125.753360362533
1155,1,126.517952645202
1156,1,126.772816739425
1157,1,126.263088550979
1158,1,126.517952645202
1159,1,126.263088550979
1160,1,126.772816739425
1161,1,126.772816739425
1162,1,126.772816739425
1163,1,127.537409022093
1164,1,127.792273116316
1165,1,127.28254492787
1166,1,128.047137210539
1167,1,127.537409022093
1168,1,127.28254492787
1169,1,128.302001304762
1170,1,127.537409022093
1171,1,128.556865398985
1172,1,128.556865398985
1173,1,128.811729493208
